date,toolchain,benchmark,avg_ns
2026-07-02,cyrius-6.3.34,voice_count_scaling/1,887
2026-07-02,cyrius-6.3.34,voice_count_scaling/4,1875
2026-07-02,cyrius-6.3.34,voice_count_scaling/8,3173
2026-07-02,cyrius-6.3.34,voice_count_scaling/16,5591
2026-07-02,cyrius-6.3.34,voice_count_scaling/32,10689
2026-07-02,cyrius-6.3.34,voice_count_scaling/64,20886
2026-07-02,cyrius-6.3.34,fill_buffer_stereo/1,457680
2026-07-02,cyrius-6.3.34,fill_buffer_stereo/8,1569000
2026-07-02,cyrius-6.3.34,fill_buffer_stereo/16,2877000
2026-07-02,cyrius-6.3.34,fill_buffer_per_sample/1,440897
2026-07-02,cyrius-6.3.34,fill_buffer_per_sample/8,1582000
2026-07-02,cyrius-6.3.34,fill_buffer_per_sample/16,2869000
2026-07-02,cyrius-6.3.34,interpolation_cubic,82
2026-07-02,cyrius-6.3.34,interpolation_stereo,155
2026-07-02,cyrius-6.3.34,fill_buffer_stereo_filtered_8v,2592000
2026-07-02,cyrius-6.3.34,wsola_1sec_2x,857123000
2026-08-31,cyrius-6.5.36,voice_count_scaling/1,868
2026-08-31,cyrius-6.5.36,voice_count_scaling/4,1789
2026-08-31,cyrius-6.5.36,voice_count_scaling/8,3105
2026-08-31,cyrius-6.5.36,voice_count_scaling/16,5601
2026-08-31,cyrius-6.5.36,voice_count_scaling/32,10569
2026-08-31,cyrius-6.5.36,voice_count_scaling/64,20614
2026-08-31,cyrius-6.5.36,fill_buffer_stereo/1,433295
2026-08-31,cyrius-6.5.36,fill_buffer_stereo/8,1555000
2026-08-31,cyrius-6.5.36,fill_buffer_stereo/16,2871000
2026-08-31,cyrius-6.5.36,fill_buffer_per_sample/1,429148
2026-08-31,cyrius-6.5.36,fill_buffer_per_sample/8,1550000
2026-08-31,cyrius-6.5.36,fill_buffer_per_sample/16,2884000
2026-08-31,cyrius-6.5.36,interpolation_cubic,89
2026-08-31,cyrius-6.5.36,interpolation_stereo,154
2026-08-31,cyrius-6.5.36,fill_buffer_stereo_filtered_8v,2247000
2026-08-31,cyrius-6.5.36,wsola_1sec_2x,858842000
2026-08-31,cyrius-6.5.36-v2.0.2,voice_count_scaling/1,839
2026-08-31,cyrius-6.5.36-v2.0.2,voice_count_scaling/4,1719
2026-08-31,cyrius-6.5.36-v2.0.2,voice_count_scaling/8,2975
2026-08-31,cyrius-6.5.36-v2.0.2,voice_count_scaling/16,5480
2026-08-31,cyrius-6.5.36-v2.0.2,voice_count_scaling/32,10524
2026-08-31,cyrius-6.5.36-v2.0.2,voice_count_scaling/64,21038
2026-08-31,cyrius-6.5.36-v2.0.2,fill_buffer_stereo/1,420294
2026-08-31,cyrius-6.5.36-v2.0.2,fill_buffer_stereo/8,1532000
2026-08-31,cyrius-6.5.36-v2.0.2,fill_buffer_stereo/16,2814000
2026-08-31,cyrius-6.5.36-v2.0.2,fill_buffer_per_sample/1,431167
2026-08-31,cyrius-6.5.36-v2.0.2,fill_buffer_per_sample/8,1543000
2026-08-31,cyrius-6.5.36-v2.0.2,fill_buffer_per_sample/16,2822000
2026-08-31,cyrius-6.5.36-v2.0.2,interpolation_cubic,83
2026-08-31,cyrius-6.5.36-v2.0.2,interpolation_stereo,156
2026-08-31,cyrius-6.5.36-v2.0.2,fill_buffer_stereo_filtered_8v,2021000
2026-08-31,cyrius-6.5.36-v2.0.2,wsola_1sec_2x,850335000
2026-08-31,cyrius-6.5.36-v2.0.7,voice_count_scaling/1,720
2026-08-31,cyrius-6.5.36-v2.0.7,voice_count_scaling/4,1293
2026-08-31,cyrius-6.5.36-v2.0.7,voice_count_scaling/8,2120
2026-08-31,cyrius-6.5.36-v2.0.7,voice_count_scaling/16,3644
2026-08-31,cyrius-6.5.36-v2.0.7,voice_count_scaling/32,6970
2026-08-31,cyrius-6.5.36-v2.0.7,voice_count_scaling/64,13245
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_stereo/1,364251
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_stereo/8,1113000
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_stereo/16,1901000
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_per_sample/1,361374
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_per_sample/8,1080000
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_per_sample/16,1904000
2026-08-31,cyrius-6.5.36-v2.0.7,interpolation_cubic,37
2026-08-31,cyrius-6.5.36-v2.0.7,interpolation_stereo,60
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_stereo_filtered_8v,1511000
2026-08-31,cyrius-6.5.36-v2.0.7,fill_buffer_stereo_filtered_hp_8v,1797000
2026-08-31,cyrius-6.5.36-v2.0.7,wsola_1sec_2x,217658000
